id,name,neighborhood,bedrooms,nightly_rate,days_occupied,availability_30,home_price,rpp,noi
7308331,Vintage Capitol Hill - 1+ Pkg Spots,Belltown/Downtown,2,198,2,28,526079,396,-2402.42
3946631,Charming Tudor Apt in Capitol Hill,Belltown/Downtown,1,160,30,0,396702,4800,2239.65
7329915,* Parkside One Bed * Capitol Hill*,Belltown/Downtown,1,126,1,29,396702,126,-1966.95
6436976,Spacious& clean apartment- Caphill!,Belltown/Downtown,1,99,3,27,396702,297,-1813.05
9117301,Diamond 11 : Walk to Downtown,Belltown/Downtown,1,99,12,18,396702,1188,-1011.15
2898401,Luxurious Building- Prime Location,Belltown/Downtown,1,100,30,0,396702,3000,619.65
5510720,Stylish One Bedroom in Capitol Hill,Belltown/Downtown,1,125,30,0,396702,3750,1294.65
6837819,Charming Capitol Hill One-Bedroom,Belltown/Downtown,1,150,0,30,396702,0,-2080.35
8050232,Studio apartment on lower cap hill,Belltown/Downtown,1,90,30,0,396702,2700,349.65
3732949,Stylish Modern Loft in Capitol Hill,Belltown/Downtown,1,180,0,30,396702,0,-2080.35
317248,Vintage Capitol Hill - 2 Pkg Spots,Belltown/Downtown,2,240,19,11,526079,4560,1345.18
6076158,Barn 11 : Walk to Downtown Seattle,Belltown/Downtown,1,99,17,13,396702,1683,-565.65
384797,Best Coffee in Seattle 1 Block Away,Belltown/Downtown,6,673,12,18,914793,8076,2471.13
7901318,"Sunny, Central w/ Space Needle View",Belltown/Downtown,1,98,30,0,396702,2940,565.65
5386937,Historic Capitol Hill Apartment,Belltown/Downtown,1,120,11,19,396702,1320,-892.35
3412630,Pike/Pine Urban Oasis Unit B,Belltown/Downtown,2,195,30,0,526079,5850,2506.18
7054225,Historic Capitol Hill apartment,Belltown/Downtown,1,200,1,29,396702,200,-1900.35
4223597,Pike/Pine Urban Oasis Unit C,Belltown/Downtown,2,195,6,24,526079,1170,-1705.82
1976382,Modern luxury on Capitol Hill,Belltown/Downtown,1,119,0,30,396702,0,-2080.35
1782140,Beautiful Capitol Hill Studio,Belltown/Downtown,1,99,22,8,396702,2178,-120.15
430453,"Space Needle Views, Downtown Apt",Belltown/Downtown,1,149,0,30,396702,0,-2080.35
1633986,Modern 1BR/1BA with Skyline Views,Belltown/Downtown,1,199,8,22,396702,1592,-647.55
7697170,Capitol Hill Historic District,Belltown/Downtown,2,239,4,26,526079,956,-1898.42
6305798,Capitol Hill 2BR Apartment,Belltown/Downtown,2,134,30,0,526079,4020,859.18
4009295,99 Comfy 1Bed in Cap Hill,Belltown/Downtown,1,169,0,30,396702,0,-2080.35
10334184,Historic Capitol Hill Garden Apt.,Belltown/Downtown,1,120,4,26,396702,480,-1648.35
1159111,Capitol Hill 2 BR - St. John's #203,Belltown/Downtown,2,204,3,27,526079,612,-2208.02
9368573,Modern House with Big Views,Belltown/Downtown,2,295,3,27,526079,885,-1962.32
3773417,Capitol Hill 2bdr w/ Garage Parking,Belltown/Downtown,2,152,0,30,526079,0,-2758.82
6492056,Spacious Capitol Hill house,Belltown/Downtown,2,420,30,0,526079,12600,8581.18
7073650,* Parkside Capitol Hill Jem *,Belltown/Downtown,1,81,0,30,396702,0,-2080.35
446276,Fantastic mountain view 2-bdrm home,Belltown/Downtown,2,195,1,29,526079,195,-2583.32
208670,2BR/1BA Capitol Hill Bungalow/Loft,Belltown/Downtown,1,169,0,30,396702,0,-2080.35
7180032,"Bright Cap Hill space, fab views!",Belltown/Downtown,2,100,20,10,526079,2000,-958.82
9252998,Stay on Capitol Hill!,Belltown/Downtown,3,400,28,2,650000,11200,6671.33
6278216,Vintage Apt in Heart of CapitolHill,Belltown/Downtown,1,175,26,4,396702,4550,2014.65
6425652,Apartment with a big view!,Belltown/Downtown,2,200,0,30,526079,0,-2758.82
7228435,Cite Jardin - An Urban Retreat,Belltown/Downtown,2,250,30,0,526079,7500,3991.18
5548982,Vintage Studio Capitol Hill,Belltown/Downtown,1,59,4,26,396702,236,-1867.95
3394837,Spacious Urban 1 Bedroom Condo,Belltown/Downtown,1,140,0,30,396702,0,-2080.35
8828781,Capitol Hill Bungalow,Belltown/Downtown,1,140,9,21,396702,1260,-946.35
1198884,1 Bdrm Condo across Convention Ctr,Belltown/Downtown,1,150,30,0,396702,4500,1969.65
2386589,Charming 1BD in trendy Capitol Hill,Belltown/Downtown,1,125,29,1,396702,3625,1182.15
9924107,New! Hip Capitol Hill 1+ bedroom,Belltown/Downtown,1,110,0,30,396702,0,-2080.35
3386862,Convenient 1Br in Capitol Hill,Belltown/Downtown,1,152,30,0,396702,4560,2023.65
9880665,Cozy Captiol Hill Nest Garden View,Belltown/Downtown,1,120,1,29,396702,120,-1972.35
1762354,Bright + Spacious Capitol Hill Home,Belltown/Downtown,1,120,30,0,396702,3600,1159.65
3819831,Hardwood home on the Hill,Belltown/Downtown,1,82,30,0,396702,2460,133.65
